composer,piece,top_recommendation,date,reviewer,podcast
"Stravinsky, Igor",Pulcinella (complete ballet),"Teresa Berganza (mezzo), Ryland Davies (tenor), John Shirley-Quirk (bass), London Symphony Orchestra, Claudio Abbado (conductor) (recorded 1978)  
DG 439 433-2 (CD)",2002-10-19T00:00:00Z,NA,NA
"Bach, Johann Sebastian","Accompanied Violin Sonatas
BWV 1014-19","Rachel Podger (violin), Trevor Pinnock (harpsichord)
CHANNEL CLASSICS CCS 14798 (2-CD)",2002-10-12T00:00:00Z,NA,NA
"Schumann, Robert",Liederkreis Op 39,"Dame Janet Baker (mezzo-soprano), Daniel Barenboim (piano)
EMI CZS 573836 2 (2-CD)",2002-10-05T00:00:00Z,NA,NA
"Shostakovich, Dmitri","Cello Concerto No 1 in E Flat, Op 107","Natalia Gutman (cello), The USSR Radio and TV Symphony Orchestra, Kyrill Kondrashin (conductor) (recorded 1976)
LIVE CLASSICS LCL202 (CD)",2002-09-28T00:00:00Z,Lowri Blake,NA
"Beethoven, Ludwig Van","String Quartet, Op 59/1 (Razumovksy)","Takacs Quartet (recorded 2001)
DECCA 470 847-2 (2-CD)",2002-09-21T00:00:00Z,NA,NA
"Tchaikovsky, Pyotr Ilyich",Symphony No 4,"Philharmonia Orchestra, Claudio Abbado 
(recorded 1978)
DECCA 443 844-2 (2-CD)",2002-09-14T00:00:00Z,NA,NA
"Mussorgsky, Modest",Pictures at an Exhibition (Ravel orchestration),"Oslo Philharmonic Orchestra, Mariss Jansons (conductor)
(recorded 1988) 
EMI CZS 5 751722 (2-CD)",2002-07-13T00:00:00Z,NA,NA
"Mussorgsky, Modest",Pictures at an Exhibition (piano version),"Yefim Bronfman (piano) 
(recorded 1990)
SONY CLASSICAL SMK89615 (CD)",2002-07-06T00:00:00Z,NA,NA
"Puccini, Giacomo",Tosca,"Leontyne Price (Tosca), Giuseppe di Stefano (Cavaradossi), Giuseppe Taddei (Scarpia), Carlo Cava (Angelotti), Fernando Corena (Sagrestano), Piero de Palma (Spoletta), Leonardo Monreale (Sciarrone), Alfredo Mariotti (Carceriere), Herbert Weiss (Pastore), Vienna State Opera Choir & Vienna Philharmonic, Herbert Von Karajan (conductor) (recorded 1962)
DECCA 466 384-2 (2-CD)",2002-06-29T00:00:00Z,NA,NA
"Schubert, Franz","Octet in F major, D.803","Vienna Octet
(recorded 1990) 
DECCA 448 715-2 (CD)",2002-06-22T00:00:00Z,NA,NA
