composer,piece,top_recommendation,date,reviewer,podcast
"Shostakovich, Dmitri",Symphony no.5,"Moscow Philharmonic Orchestra 
Kirill Kondrashin (conductor)
Melodiya RCID18056928",2024-07-13T00:00:00Z,NA,NA
"Korngold, Erich",Violin Concerto,"Vilde Frang (violin)
Frankfurt Radio Symphony
James Gaffigan (conductor)
Warner Classics 2564600921

",2024-07-06T00:00:00Z,NA,NA
"Chopin, Frédéric",Ballades,"Krystian Zimerman (piano)
Deutsche Grammophon E4230902",2024-06-29T00:00:00Z,NA,NA
"Handel, George Frideric",Theodora,"Louise Alder (Theodora)
Tim Mead (Didymus)
Anna Stephany (Irene)
Stuart Jackson (Septimius)
Adam Plachetka (Valens)
Arcangelo
Jonathan Cohen (conductor)
Alpha ALPHA1025",2024-06-22T00:00:00Z,NA,NA
"Strauss, Richard",Also Sprach Zarathustra Op.30,"Oslo Philharmonic Orchestra
Vasily Petrenko (conductor)
LAW LWC1166
",2024-06-15T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus",Piano Concerto No. 23 in A major K. 488,"Murray Perahia (piano/director)
English Chamber Orchestra
Sony Classical 88697757852",2024-06-08T00:00:00Z,NA,NA
"Elgar, Edward","Symphony no.1 in A flat, Op.55","BBC Symphony Orchestra
Edward Gardner (conductor)
CHANDOS CHSA5181",2024-06-01T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0j22v4l
"Bach, Johann Sebastian",Keyboard Partitas BWV.825-830,"Andras Schiff (piano)
Decca 4758234",2024-05-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0j0kjcl
"Debussy, Claude",Jeux,"City of Birmingham Symphony Orchestra
Simon Rattle (conductor)
Warner Classics 9029667941
Warner Classics 2435752195
(both download only)",2024-05-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hz48r6
"Stravinsky, Igor",The Firebird,"Montreal Symphony Orchestra
Charles Dutoit (conductor)
DECCA 4144092",2024-05-11T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hxsmsq
"Ravel, Maurice",Piano Concerto in D major for the left hand,"Krystian Zimerman (piano)
London Symphony Orchestra
Pierre Boulez (conductor)
DG 4492132",2024-05-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hwhvqr
"Monteverdi, Claudio",Vespers,"Pygmalion
Raphael Pichon (conductor)
Harmonia Hundi HMM90271011",2024-04-27T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0htw8ys
"Mahler, Gustav",Kindertotenlieder,"Mariana Lipovsek (mezzo-soprano)
Berlin Philharmonic Orchestra
Claudio Abbado (conductor)
Sony Classical G010001399711H",2024-04-20T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hsf862
"Brahms, Johannes",Symphony no.3,"London Philharmonic Orchestra
Eugen Jochum (conductor)
Warner Classics 5695152",2024-04-13T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hqxw48
"Vaughan Williams, Ralph","Symphony no.1 ""A Sea Symphony""","Geraldine McGreevy (soprano)
Tommi Hakala (baritone)
MDR Rundfunkchor
MDR Sinfonieorchester
Howard Arman (conductor)
QuerstandVKJK0731",2024-04-06T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hphl2h
"Britten, Benjamin",War Requiem,"Galina Vishnevskaya (soprano)
Peter Pears (tenor)
Dietrich Fischer-Dieskau (baritone)
Simon Preston (organ)
London Symphony Orchestra Chorus
Highgate School Choir
The Bach Choir
Melos Ensemble
London Symphony Orchestra
Benjamin Britten (conductor)
Decca 4757511",2024-03-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hnb2tz
"Puccini, Giacomo",Madame Butterfly,"Angela Gheorghiu (soprano - Butterfly)
Jonas Kaufmann (tenor - Pinkerton)
Enkelejda Shkosa (mezzo-soprano - Suzuki)
Fabio Capitanucci (baritone - Sharpless)
Orchestra e Coro dell’Accademia Nazionale di Santa Cecilia
Antonio Pappano (conductor)
Warner Classics 4562152",2024-03-23T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hm0dns
"Handel, George Frideric",Concerti grossi Op 6,"Academy of Ancient Music
Andrew Manze (conductor)
Harmonia Mundi HMU907228/29",2024-03-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hkbqx4
"Schubert, Franz","Symphony No 9 in C ""Great""","Chamber Orchestra of Europe
Nikolaus Harnoncourt (conductor)
ICA Classics ICAC5160",2024-03-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hj2y31
"Haydn, Joseph",Symphony No 100 in G Major ‘Military’,"Handel and Haydn Society Orchestra
Harry Christophers (conductor)
Coro COR16181",2024-03-02T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hggxq5
"Ravel, Maurice",Ma Mère l'oye (Mother Goose) - complete ballet,Sinfonia of London                                               John Wilson (conductor)                                                              Chandos CHSA5280,2024-02-24T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hf2qpf
"Saint-Saëns, Camille",Organ Symphony,"Jean Guillou (organ)
San Francisco Symphony
Edo de Waart (conductor)
Philips 4126192",2024-02-17T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hcrl3b
"Stravinsky, Igor",The Soldier's Tale,"Jeremy Irons (speaker)
Columbia Chamber Ensemble
Igor Stravinsky (conductor)
SONY G010003473050V",2024-02-10T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hbf752
"Beethoven, Ludwig Van",Piano Sonata no. 26 in E flat major Op.81a 'Les Adieux',"Emil Gilels (piano)
Deutsche Grammophon 4191622",2024-02-03T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h92s6q
"Mozart, Wolfgang Amadeus","String Quintet No.3 in C major, K.515","Quatuor Ebène
Antoine Tamestit (viola)
Erato 5419721332",2024-01-27T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h7q4bl
"Schumann, Robert",Cello Concerto in A minor,"Steven Isserlis (cello)
Deutsche Kammerphilharmonie
Christoph Eschenbach (conductor)
RCA 09026688002",2024-01-20T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h6db27
"Bach, Johann Sebastian","Orchestral Suites BWV.1066-69
","La Petite Bande
Sigiswald Kuijken (conductor)
Accent ACC24279",2024-01-13T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h5gsgx
"Haydn, Joseph",The Creation,"Katharina Konradi (soprano)
Julian Habermann (tenor)
Tobias Berndt (baritone)
Gaechinger Cantorey
Hans-Christoph Rademann (conductor)
Accentus Music ACC30564",2024-01-06T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h3nhv9
"Schubert, Franz",Winterreise,"Thomas Bauer (baritone)
Jos van Immerseel (pianoforte Walter)
Zigzag ZZT101102",2023-12-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h2mdk9
"Tchaikovsky, Pyotr Ilyich",The Sleeping Beauty (complete ballet),"Royal Opera House Orchestra
Mark Ermler (conductor)
Royal Opera House ROH3068",2023-12-23T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h2jx6k
"Stravinsky, Igor",The Fairy's Kiss,"Royal Scottish National Orchestra
Neeme Jarvi (conductor)
CHANDOS CHAN8630",2023-12-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0h06qb9
"Bruckner, Anton",Symphony No 8 in C minor,"London Philharmonic Orchestra
Klaus Tennstedt (conductor)
Warner Classics 3817612",2023-12-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gytjyr
"Bartók, Béla",The Miraculous Mandarin,"Budapest Festival Orchestra
Ivan Fischer (conductor)
Philips 4544302",2023-12-02T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gxh0gf
"Ravel, Maurice","Le tombeau de Couperin
(piano versions only)","Javier Perianes (piano)
Harmonia Mundi HMM902326",2023-11-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gw2x47
"Tchaikovsky, Pyotr Ilyich",Violin Concerto,"Lisa Batiashvili (violin)
Staatskapelle Berlin
Daniel Barenboim (conductor)
Deutsche Grammophon 4796038",2023-11-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gtr5y0
Dvorak Antonin,"Symphony No 9
""The New World""","Prague Symphony Orchestra
Sir Charles Mackerras (conductor)
Supraphon SU38482",2023-11-11T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gscncd
"Bach, Johann Sebastian","J.S.BACH
Violin concerto in A minor BWV 1041","Rachel Podger (violin)
Brecon Baroque
Channel Classics CCSSA30910",2023-11-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gqyvhn
"Brahms, Johannes","Clarinet Trio 
in A minor Op 114","Emanuel Ax (piano)
Yo-Yo Ma (cello)
Richard Stoltzman (clarinet)
Sony G010002666317U",2023-10-21T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gn6l5f
"Beethoven, Ludwig Van",Symphony No 8 in F,"Kammerphilharmonie Bremen
Paavo Jarvi
RCA 88697006552",2023-10-14T00:00:00Z,"Richard Wigmore
",https://www.bbc.co.uk/programmes/p0glrh4j
"Rimsky-Korsakov, Nikolai",Scheherazade,"London Symphony Orchestra
Sir Charles Mackerras
Telarc CD80208",2023-10-07T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0gk9z20
"Schumann, Robert",Piano Quartet in Eb Op 47,"The Festival Quartet
Sony G010003590870J",2023-09-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0ggjmlh
"Mahler, Gustav","Symphony No. 8 ""Symphony of a Thousand""","Berliner Philharmoniker
Claudio Abbado
Rundfunkchor Berlin
Prager Philharmonischer Chor
Tölzer Knabenchor
Cheryl Studer, Sylvia McNair, Andrea Rost (sopranos)
Anne Sofie von Otter, Rosemarie Lang (mezzos)
Peter Seiffert (tenor)
Bryn Terfel & Jan-Hendrik Rootering (bass-baritones)
DG 4458432",2023-09-23T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","
Symphony No. 35 in D ""Haffner"" 
","Orchestra Mozart
Claudio Abbado
Archiv 4777598",2023-09-16T00:00:00Z,"Roger Parker
",https://www.bbc.co.uk/programmes/p0gf6zgk
"Stravinsky, Igor",Petrushka (complete ballet),"Ruud van den Brink (piano)
Royal Concertgebouw Orchestra
Riccardo Chailly (conductor)
Decca 4437742",2023-07-08T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0g00gt5
"Byrd, William",Survey,"Byrd 1588: Psalmes, Sonets & songs of sadnes & and pietie
Alamire
Grace Davidson (soprano)
Martha McLorinan (mezzo-soprano)
Nicholas Todd (tenor)
Fretwork
David Skinner (director)
Inventa INV1006 (2CDs)",2023-07-01T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fyv15v
"Poulenc, Francis",Piano Concerto in C-sharp minor,Louis Lortie (piano)                                              BBC Philharmonic                                      Edward Gardner (conductor)                           Chandos CHAN10875,2023-06-24T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fxdfxs
"Puccini, Giacomo",Tosca,"Leontyne Price (soprano – Tosca)
Giuseppe di Stefano (tenor – Cavaradossi)
Piero De Palma (tenor – Spoletta)
Herbert Weiss (treble – Pastore)
Giuseppe Taddei (baritone – Scarpia)
Carlo Cava (bass – Angelotti)
Alfredo Mariotti (bass – Carceriere)
Fernando Corena (bass – Sagrestano)
Leonardo Monreale (bass – Sciarrone)
Vienna State Opera Chorus
Vienna Philharmonic Orchestra
Herbert von Karajan (conductor)
Decca 421 670-2 (2 CDs)",2023-06-17T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fw72fb
"Prokofiev, Sergei",Peter and the Wolf,"Sting (narrator) 
Chamber Orchestra of Europe
Claudio Abbado (conductor)
DG 4293962",2023-06-10T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0ftq6h1
"Brahms, Johannes",German Requiem,"Julia Borchert (soprano)
Michael Volle (baritone)
Stuttgart Chamber Choir
Stuttgart Classical Philharmonic Orchestra
Frieder Bernius (conductor)
Carus CAR83200",2023-06-03T00:00:00Z,John Rutter,https://www.bbc.co.uk/programmes/p0fsbfjg
"Smetana, Bedřich",The Bartered Bride,"Drahomíra Tikalová (soprano)
Ivo Žídek (tenor)
Eduard Haken (bass)
Prague National Theatre Chorus and Orchestra
Zdeněk Chalabala (conductor)
Supraphon SU 0040-2",2023-05-27T00:00:00Z,NA,https://www.bbc.co.uk/programmes/m001m55x
"Mahler, Gustav",Rückert-Lieder,Christian Gerhaher (baritone)                          Gerold Huber (piano)                                                    RCA 88697567732,2023-05-20T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fpps8c
"Sibelius, Jean",Symphony No. 6,"Budapest Festival Orchestra
Ivan Fischer (conductor)
Philips 4761799",2023-05-13T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fnf1mx
"Handel, George Frideric",Coronation Anthems,"
Choir of King’s College Cambridge
Academy of Ancient Music 
Stephen Cleobury (conductor)
EMI CDC5571402",2023-04-29T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fkwz6h
"Schubert, Franz",Symphony No. 5 in B flat major,"Chamber Orchestra of Europe                          Claudio Abbado 
DG 423654 2",2023-04-22T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fjgcn8
"Janáček, Leoš",String Quartet No 1,"Prazák Quartet  
Praga Digitals  PRD250108D",2023-04-15T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fh409y
"Britten, Benjamin",Peter Grimes,"Philip Langridge (Peter Grimes)
Ned Harrison (Boy [John])
Janice Watson (Ellen Orford)
Alan Opie (Captain Balstrode)
Ameral Gunson (Auntie)
Yvonne Barclay (Niece 1)
Pamela Helen Stephen (Niece 2)
John Graham Hall (Bob Boles)
John Connell (Swallow)
Anne Collins (Mrs (Nabob) Sedley)
John Fryatt (Rev. Horace Adams)
Roderick Williams (Ned Keene)
Matthew Best (Hobson)
Opera London
London Symphony Chorus
City of London Sinfonia
Richard Hickox (conductor)
Chandos CHAN 9447/8",2023-04-08T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0ffzqlg
"Rachmaninov, Sergei","Symphonic Dances, Op 45","USSR State Symphony Orchestra
Evgeny Svetlanov (conductor)                              Melodiya MELCD1002090",2023-04-01T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0fdlphy
"Handel, George Frideric",Water Music,"Akademie für Alte Musik Berlin                    Georg Kallweit (conductor)
Harmonia Mundi HMC902216",2023-03-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0ff3kkw
"Chopin, Frédéric",Piano Concerto No 2 in F minor,"Martha Argerich (piano)
Montreal Symphony Orchestra
Charles Dutoit (conductor)
Warner Classics 5567982",2023-03-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0f9vdqz
"Walton, WIlliam",Viola Concerto,"Lawrence Power (viola)
BBC Scottish Symphony Orchestra                 Ilan Volkov (conductor)                                            Hyperion CDA67587",2023-03-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0f713xv
"Messiaen, Olivier",Turangalila Symphony,"Jeanne Loriod (ondes martenot)
Michel Béroff (piano)
London Symphony Orchestra
André Previn (conductor)
Warner Classics 2068672",2023-02-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0f5nmyd
"Mozart, Wolfgang Amadeus",String Quartet No 19 ('Dissonance'),"Quatuor Modigliani
Mirare MIR506",2023-02-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0f4874j
"Beethoven, Ludwig Van",Piano Sonata No 23 ' Appassionata',"Ronald Brautigam (fortepiano)
BIS BISSACD1573",2023-02-11T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0f32qmy
"Purcell, Henry",Fairy Queen,"Carolyn Sampson (soprano)
Anna Dennis (soprano)
Mhairi Lawson (soprano)
Ashley Riches (bass-baritone)
Roderick Williams (baritone)
Gabrieli Consort & Players
Paul McCreesh (conductor)
Signum SIGCD615",2023-02-04T00:00:00Z,Nick Kenyon,https://www.bbc.co.uk/programmes/p0f1bj6g
"Debussy, Claude",Images for Orchestra,Cleveland Orchestra                                      Pierre Boulez (conductor)                                        Deutsche Grammophon  DG4357662,2023-01-28T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dzwj7q
"Shostakovich, Dmitri",String Quartet No 8 in C minor,"Pavel Haas Quartet
Supraphon SU42712",2023-01-21T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dyc8w7
"Prokofiev, Sergei",Violin Concerto No 2 in G minor,"James Ehnes (violin)
BBC Philharmonic
Gianandrea Noseda (conductor)
Chandos CHAN10787(2)",2023-01-14T00:00:00Z,Ben Gernon,https://www.bbc.co.uk/programmes/p0dwn9zb
"Mahler, Gustav",Symphony No 6 in A minor,London Philharmonic Orchestra                   Klaus Tennstedt (conductor)                             LPO LPO0038,2023-01-07T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dvjj7m
"Rachmaninov, Sergei",24 Preludes,"Boris Giltburg (piano)
Naxos  8.574025",2022-12-31T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dsmw9f
"Beethoven, Ludwig Van",Symphony No 9 in D minor,"Marlis Petersen (soprano)                        Elisabeth Kulman (mezzo-soprano)  Benjamin Bruns (tenor)                           Kwangchul Youn (bass)
Rundfunkchor Berlin                                  Berliner Philharmoniker 
Kirill Petrenko (conductor)                                   Berliner Philharmoniker BPHR200351",2022-12-24T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dsmsmj
"Ravel, Maurice",Piano Trio in A minor,The Florestan Trio                                    Hyperion CDA67114,2022-12-17T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dq7th1
"Mozart, Wolfgang Amadeus",Piano Concerto No 21 in C,"Mitsuko Uchida (piano)
English Chamber Orchestra                   Jeffrey Tate (conductor)                                      Philips 4163812",2022-12-10T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dnny6p
"Strauss, Richard",Don Juan,Staatskapelle Dresden                              Rudolf Kempe (conductor)                                Warner Classics 3458262,2022-11-26T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dk7rw0
"Grieg, Edvard",Violin Sonata No 3 in C minor,"Leila Josefowicz (violin)
John Novacek (piano)
Philips 4565712",2022-11-19T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dhpx2z
"Haydn, Joseph",Harmoniemesse,"La Petite Bande                                          Chœur de Chambre de Namur
Sigiswald Kuijken (conductor)                                 Deutsche HM 05472773372",2022-11-12T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dg38yz
"Tchaikovsky, Pytor Ilych",Piano Concerto No 1,"Martha Argerich (piano)
Berliner Philharmoniker
Claudio Abbado (conductor)
DG E4498162",2022-11-05T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0ddm3pm
"Schumann, Robert",Myrthen Op 25,Camilla Tilling (soprano)                             Christian Gerhaher (baritone)                    Gerold Huber (piano)                                         Sony 19075945362,2022-10-29T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0dbvmw2
"Mozart, Wolfgang Amadeus","Symphony No 31 in D, 'Paris'","Freiburger Barochorchester
Gottfried Von Der Goltz (conductor)
Harmonia Mundi HMC901897",2022-10-22T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0d94w2j
"Vaughan Williams, Ralph",The Lark Ascending,"Janine Jansen (violin)
Royal Philharmonic Orchestra                       Barry Wordsworth (conductor)                              Decca 4750112",2022-10-15T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0d7hrjy
"Bach, Johann Sebastian",St Matthew Passion BWV 244,"Benjamin Bruns (Evangelist)
Carolyn Sampson (soprano)
Aki Matsui (soprano)
Damien Guillon (counter-tenor)
Clint van der Linde (baritone)
Makato Sakurada (tenor)
Zachary Wilder (tenor)
Christian Immler (baritone)
Toru Kaku (bass)
Bach Collegium Japan
Masaaki Suzuki
BIS BIS2500",2022-10-08T00:00:00Z,Joseph McHardy,https://www.bbc.co.uk/programmes/p0d5x23j
"Brahms, Johannes",Double Conceto in A minor,"Renaud Capuçon (violin)
Gautier Capuçon (cello)
Gustav Mahler Jugendorchester
Myung-Whun Chung (conductor)                                      Erato 3951472",2022-10-01T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0d47xt8
"Strauss, Joahnn",Die Fledermaus,"Julius Patzak (Gabriel von Eisenstein; tenor)
Hilde Gueden (Rosalinde; soprano)
Wilma Lipp (Adele; soprano)
Anton Dermota (Alfred; tenor)
Alfred Poell (Dr. Falke; baritone)
August Jaresch (Dr. Blind; tenor buffo)
Kurt Preger (Frank; baritone)
Sieglinde Wagner (Prinz Orlofsky; contralto)
Vienna State Opera Chorus
Vienna Philharmonic Orchestra
Clemens Krauss (conductor)                               Decca  4827379",2022-09-24T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0d39wt8
"Schubert, Franz",Piano Trio No 1 in Bb,"Gryphon Trio 
Analekta AN298556",2022-09-17T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0d1mg7y
"Walton, WIlliam",Symphony No 1 in Bb minor,City of Birmingham Symphony Orchestra Simon Rattle (conductor)                                              EMI CDC 556 5922,2022-07-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0cl82kq
"Beethoven, Ludwig Van",Missa Solemnis,"Gundula Janowitz (soprano)
Christa Ludwig (mezzo-soprano)
Fritz Wunderlich (tenor)
Walter Berry (bass)
Wiener Singverein
Berliner Philharmoniker
Herbert von Karajan (conductor)   
DG 4530162",2022-07-02T00:00:00Z,Elin Manahan-Thomas,https://www.bbc.co.uk/programmes/p0cjrj5h
"Rachmaninov, Sergei",Symphony No 2 in E minor,"St Petersburg Philharmonic Orchestra
Mariss Jansons (conductor)
Warner Classics 5850752",2022-06-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0chcyy1
"Haydn, Joseph",Survey (opera),"Cecilia Bartoli (Armida; soprano)
Christoph Prégardien (Rinaldo; tenor)
Patricia Petibon (Zelmira; soprano)
Oliver Widmer (Idreno; bass)
Scot Weir (Ubaldo; tenor)
Markus Schäfer
Concentus Musicus Wien
Nikolaus Harnoncourt (conductor
Warner Classics 9029561472",2022-06-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0cg0hbx
"Debussy, Claude",La mer,"Les Siècles
François-Xavier Roth
Actes Sud ASM10",2022-06-11T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0cdmp52
"Britten, Benjamin",Four Sea Interludes,BBC Philharmonic                                 Edward Gardner (conductor)                             Chandos CHAN10658,2022-06-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0cc692r
"Stravinsky, Igor",Symphony in 3 movements,City of Birmingham Symphony Orchestra Simon Rattle (conductor)                                  Warner Classics 5855382,2022-05-28T00:00:00Z,Jonathan Cross,https://www.bbc.co.uk/programmes/p0c9xjq0
"Janáček, Leoš",Jenufa,"Elisabeth Söderström (Jenufa; soprano)
Wieslav Ochman (Laca; tenor)
Eva Randová (Kostelnicka; soprano)
Petr Dvorsky (Steva; tenor)
Wiener Philharmoniker
Wiener Staatsoper
Sir Charles Mackerras (conductor)
Decca 4144832",2022-05-21T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0c8j8zc
"Vaughan Williams, Ralph",Symphony No 4,"London Philharmonic Orchestra
Bernard Haitink (conductor)
Warner Classics  9847592",2022-05-14T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0c71whr
"Beethoven, Ludwig Van","String Quartet in F, Op. 18 No. 1",Cuarteto Casals                                      Harmonia Mundi HMM90240002b,2022-05-07T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0c5q3t6
"Chopin, Frédéric",Piano Sonata No 3 in B Minor,"Marc-André Hamelin (piano)
Hyperion CDA67706",2022-04-30T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0c4f097
"Zemlinsky, Alexander von",Lyric Symphony,"Christine Schafer (soprano)                     Matthias Goerne (baritone)
Orchestra de Paris                                Christoph Eschenbach (conductor)                  Capriccio C71081",2022-04-23T00:00:00Z,Erik Levi,https://www.bbc.co.uk/programmes/p0c340pk
"Handel, George Frideric",Messiah,"Dorothee Mields (soprano)
Benno Schachtner (alto)
Benedikt Kristjánsson (tenor)
Tobias Berndt (bass)
Gaechinger Cantorey
Hans-Christoph Rademann
Accentus Music ACC30499",2022-04-16T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0c1tpkc
"Mahler, Gustav",Symphony No 9,"Berliner Philharmoniker
Sir Simon Rattle (conductor)                                       Warner Classics 9029586917",2022-04-09T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0c0p19j
"Mozart, Wolfgang Amadeus",The Marriage of Figaro,"Simon Keenlyside (Count, baritone)
Véronique Gens (Countess, soprano)
Patrizia Ciofi (Susanna, soprano)
Lorenzo Regazzo (Figaro, bass)
Angelika Kirchschlager (Cherubino, mezzo)
Marie McLaughlin (Marcellina, soprano)
Collegium Vocale Gent
Concerto Köln
René Jacobs
Harmonia Mundi HMC901818/20",2022-04-02T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bzdlv2
"Beethoven, Ludwig Van",Piano Concerto No 4 in G,"Emil Gilels (piano)
Philharmonia Orchestra
Leopold Ludwig (conductor)
Warner Classics 4768282",2022-03-26T00:00:00Z,Joanna MacGregor,https://www.bbc.co.uk/programmes/p0bxxsw1
"Bruckner, Anton",Symphony No 9 in D minor,"Wiener Philharmoniker
Carlo Maria Giulini (conductor)
DG E4273452",2022-03-19T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bwn87x
"Schubert, Franz",String Quintet in C,"Gautier Capuçon (cello)
Matthias Goerne (baritone)
Laurene Durantel (double-bass)
Erato 2564648761",2022-03-12T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bv88y7
"Britten, Benjamin","Serenade for tenor, horn and strings, Op 31","Peter Pears (tenor)                                   Dennis Brain (horn)
New Symphony Orchestra of London Eugene Goossens (conductor)                        Naxos 980235",2022-03-05T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bsy290
"Bach, Johann Sebastian",Concerto for two violins in D minor,"Rachel Podger (violin/director)
Bojan Čičić (violin II)
Katy Bircher (flute)
Alexandra Bellamy (oboe)
Johannes Pramsohler
Anna Nowak-Pokrzywinska (violins II & III)
Brecon Baroque
JS Bach: Double & Triple Concertos
Channel CCSSA34113",2022-02-26T00:00:00Z,Josseph McHardy,https://www.bbc.co.uk/programmes/p0brsnnf
"Scriabin, Alexander",Survey (piano music),"Alexander Melnikov
Harmonia Mundi HMN911914",2022-02-19T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bqbr0h
"Ravel, Maurice",Daphnis and Chloe,"Berlin Philharmonic                                      Pierre Boulez (conductor)
DG  E4470572",2022-02-12T00:00:00Z,Jerermy Sams,https://www.bbc.co.uk/programmes/p0bnxyvk
"Haydn, Joseph","Symphony No 49, 'La Passione'","The English Concert    
Trevor Pinnock (conductor)                                DG Archiv 4637312",2022-02-05T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bmddn1
"Rachmaninov, Sergei",Piano Sonata No 2,"Nikolai Lugansky (piano)
Naïve AM208",2022-01-29T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bl641c
"Bartók, Béla",Concerto for Orchestra,Budapest Festival Orchestra                         Iván Fischer (conductor)                                  Philips 4767255,2022-01-22T00:00:00Z,Emily MacGregor,https://www.bbc.co.uk/programmes/p0bjrbsp
"Beach, Amy",Survey,"Danny Driver (piano)
BBC Scottish Symphony Orchestra   Rebecca Miller (conductor)                              Hyperion CDA68130",2022-01-15T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0bhkfby
